Games,Athletes,Gold,Silver,Bronze,Total,Gold medals,Overall medals
ÿ1896 Athens,14,11,7,2,20,1,2
ÿ1900 Paris,75,19,14,14,47,2,2
ÿ1904 St. Louis,526,78,82,79,239,1,1
ÿ1908 London,122,23,12,12,47,2,2
ÿ1912 Stockholm,174,25,19,19,63,1,2
ÿ1920 Antwerp,288,41,27,27,95,1,1
ÿ1924 Paris,299,45,27,27,99,1,1
ÿ1928 Amsterdam,280,22,18,16,56,1,1
ÿ1932 Los Angeles,474,41,32,30,103,1,1
ÿ1936 Berlin,359,24,20,12,56,2,2
ÿ1948 London,300,38,27,19,84,1,1
ÿ1952 Helsinki,286,40,19,17,76,1,1
ÿ1956 Melbourne,297,32,25,17,74,2,2
ÿ1960 Rome,292,34,21,16,71,2,2
ÿ1964 Tokyo,346,36,26,28,90,1,2
ÿ1968 Mexico City,357,45,28,34,107,1,1
ÿ1972 Munich,400,33,31,30,94,2,2
ÿ1976 Montreal,396,34,35,25,94,3,2
ÿ1980 Moscow,Did not participate,,,,,,
ÿ1984 Los Angeles,522,83,61,30,174,1,1
ÿ1988 Seoul,527,36,31,27,94,3,3
ÿ1992 Barcelona,545,37,34,37,108,2,2
ÿ1996 Atlanta,646,44,32,25,101,1,1
ÿ2000 Sydney,586,37,24,32,93,1,1
ÿ2004 Athens,613,36,39,26,101,1,1
ÿ2008 Beijing,596,36,39,37,112,2,1
ÿ2012 London,530,46,28,29,103,1,1
ÿ2016 Rio de Janeiro,554,46,37,38,121,1,1
ÿ2020 Tokyo,Future event,,,,,,
ÿ2024 Paris,Future event,,,,,,
ÿ2028 Los Angeles,Future event,,,,,,
Total,1022,795,705,2522,1,1,
