Games,Athletes,Gold,Silver,Bronze,Total,Gold medals,Overall medals
Ê1924 Chamonix,24,1,2,1,4,5,3
Ê1928 St. Moritz,24,2,2,2,6,2,2
Ê1932 Lake Placid,64,6,4,2,12,1,1
Ê1936 Garmisch-Partenkirchen,55,1,0,3,4,8,6
Ê1948 St. Moritz,69,3,4,2,9,4,4
Ê1952 Oslo,65,4,6,1,11,2,2
Ê1956 Cortina d'Ampezzo,67,2,3,2,7,6,5
Ê1960 Squaw Valley,79,3,4,3,10,3,2
Ê1964 Innsbruck,89,1,2,4,7,8,8
Ê1968 Grenoble,95,1,5,1,7,9,8
Ê1972 Sapporo,103,3,2,3,8,5,6
Ê1976 Innsbruck,106,3,3,4,10,3,3
Ê1980 Lake Placid,101,6,4,2,12,3,3
Ê1984 Sarajevo,107,4,4,0,8,3,4
Ê1988 Calgary,118,2,1,3,6,9,9
Ê1992 Albertville,147,5,4,2,11,5,6
Ê1994 Lillehammer,147,6,5,2,13,5,5
Ê1998 Nagano,186,6,3,4,13,5,6
Ê2002 Salt Lake City,202,10,13,11,34,3,2
Ê2006 Turin,211,9,9,7,25,2,2
Ê2010 Vancouver,216,9,15,13,37,3,1
Ê2014 Sochi,230,9,7,12,28,4,2
Ê2018 Pyeongchang,242,9,8,6,23,4,4
Ê2022 Beijing,Future event,,,,,,
Total,105,110,90,305,2,2,
